2024-07-29 17:57:17.272/Accelerometer/-0.5240282/4.761717/8.556734/Magnetometer/22.556252/-23.212502/-38.86875/Gyroscope/-0.13698642/0.11751511/-0.084757484/Pressure/989.63446/orientation/268.87082/-30.272526/1.9158648/gravity/0.26762095/4.936896/8.4691105/
2024-07-29 17:57:17.291/Accelerometer/-0.6963114/4.6492543/9.38465/Magnetometer/23.00625/-23.175001/-39.1875/Gyroscope/-0.021532983/0.16699515/0.044745844/Pressure/989.63446/orientation/268.87558/-30.08359/1.5155265/gravity/0.20957994/4.9089518/8.486971/
2024-07-29 17:57:17.313/Accelerometer/0.047856454/4.761717/9.58804/Magnetometer/23.56875/-23.1375/-39.6375/Gyroscope/0.13423753/0.14928009/0.081397735/Pressure/989.6252/orientation/268.72842/-29.962059/1.225559/gravity/0.16342226/4.891621/8.497983/
2024-07-29 17:57:17.331/Accelerometer/-0.031106694/4.907679/9.267402/Magnetometer/23.550001/-23.34375/-39.43125/Gyroscope/0.2283107/0.1333976/0.066736974/Pressure/989.6252/orientation/268.16217/-29.974398/0.95395577/gravity/0.14143229/4.89953/8.493821/
2024-07-29 17:57:17.353/Accelerometer/-0.3493521/5.0129633/8.504091/Magnetometer/23.2875/-23.550001/-39.112503/Gyroscope/0.25030184/0.05337431/0.08811724/Pressure/989.63324/orientation/267.8948/-30.181322/0.8056292/gravity/0.1142525/4.939701/8.470931/
2024-07-29 17:57:17.372/Accelerometer/-0.16510476/5.0799623/8.13799/Magnetometer/23.0625/-23.362501/-39.018753/Gyroscope/0.20876303/-0.04130973/0.10522146/Pressure/989.63324/orientation/267.86502/-30.455244/0.7320261/gravity/0.10800215/4.9706492/8.45289/
2024-07-29 17:57:17.391/Accelerometer/0.22492532/5.1254263/8.106883/Magnetometer/23.175001/-23.456251/-38.98125/Gyroscope/0.15134175/-0.11217005/0.08384119/Pressure/989.62177/orientation/267.89755/-30.587954/0.77394885/gravity/0.119826674/4.99887/8.436073/
2024-07-29 17:57:17.411/Accelerometer/0.61016977/5.1589255/8.23131/Magnetometer/23.2875/-23.85/-38.756252/Gyroscope/0.05299252/-0.1787543/-0.009010255/Pressure/989.62177/orientation/267.88428/-30.857763/1.1135052/gravity/0.17398772/5.0338383/8.414309/
2024-07-29 17:57:17.431/Accelerometer/0.47138608/5.1613183/8.200203/Magnetometer/23.8875/-24.093752/-38.8125/Gyroscope/0.0059559317/-0.17814344/-0.013897174/Pressure/989.60175/orientation/266.47314/-30.943144/1.3956015/gravity/0.21413969/5.044391/8.407059/
2024-07-29 17:57:17.451/Accelerometer/1.1509477/5.2426744/8.583055/Magnetometer/24.093752/-24.2625/-39.075/Gyroscope/0.039553493/-0.10911572/-0.04444041/Pressure/989.60175/orientation/265.16183/-30.988064/1.6342461/gravity/0.25076035/5.050356/8.402465/
2024-07-29 17:57:17.471/Accelerometer/0.4235296/5.221139/8.288737/Magnetometer/24.150002/-24.2625/-39.375/Gyroscope/0.053603385/-0.10545053/-0.06704241/Pressure/989.5959/orientation/263.92868/-31.090609/1.8993397/gravity/0.27833843/5.0640855/8.393329/
2024-07-29 17:57:17.491/Accelerometer/0.29910284/4.996214/8.7266245/Magnetometer/24.375002/-23.98125/-39.956253/Gyroscope/0.03405571/-0.12377647/-0.054825112/Pressure/989.5959/orientation/262.76868/-31.162268/1.9943832/gravity/0.29204062/5.074584/8.3865185/
2024-07-29 17:57:17.511/Accelerometer/0.37567315/5.0751767/9.174082/Magnetometer/24.281252/-23.362501/-39.956253/Gyroscope/0.09086613/-0.1390481/-0.07987057/Pressure/989.59076/orientation/261.66803/-31.160686/2.1240942/gravity/0.3154765/5.07511/8.385352/
2024-07-29 17:57:17.531/Accelerometer/0.38763726/5.0919266/9.274581/Magnetometer/23.7/-23.625/-39.80625/Gyroscope/0.21059564/-0.009544762/-0.117744185/Pressure/989.59076/orientation/260.5617/-31.2219/2.1796646/gravity/0.31895798/5.083316/8.380247/
2024-07-29 17:57:17.551/Accelerometer/0.23688944/5.2498527/8.922835/Magnetometer/23.456251/-23.53125/-39.131252/Gyroscope/0.27351472/0.046043932/-0.13912445/Pressure/989.5881/orientation/259.55/-31.413069/2.0948808/gravity/0.30593535/5.1112676/8.363715/
2024-07-29 17:57:17.571/Accelerometer/0.2847459/5.5130634/7.4823565/Magnetometer/23.212502/-23.400002/-38.925003/Gyroscope/0.06704241/-0.29909468/-0.18432845/Pressure/989.5881/orientation/259.1321/-31.54754/2.0329347/gravity/0.31484377/5.155435/8.336231/
2024-07-29 17:57:17.591/Accelerometer/-0.086141616/5.204389/8.946764/Magnetometer/22.5/-23.775002/-38.25/Gyroscope/0.0065667965/0.049709123/-0.00962112/Pressure/989.5844/orientation/258.23123/-31.844334/2.164698/gravity/0.30889776/5.173156/8.325469/
2024-07-29 17:57:17.611/Accelerometer/0.41156548/5.4221363/8.415557/Magnetometer/22.48125/-23.831251/-37.875/Gyroscope/-0.022143848/0.08452842/0.045967575/Pressure/989.5844/orientation/257.72058/-31.800701/1.9838707/gravity/0.288526/5.1677732/8.329541/
2024-07-29 17:57:17.631/Accelerometer/0.49292147/5.407779/7.8987074/Magnetometer/22.425001/-24.093752/-37.631252/Gyroscope/-0.08628465/-0.03214676/0.03008509/Pressure/989.60223/orientation/257.71667/-31.793144/1.9897983/gravity/0.28941163/5.1666737/8.330193/
2024-07-29 17:57:17.652/Accelerometer/0.5766702/5.3503513/8.128419/Magnetometer/22.575/-23.868752/-37.66875/Gyroscope/-0.2328922/-0.15920663/-0.0377209/Pressure/989.60223/orientation/257.9362/-31.656359/2.2440605/gravity/0.3268577/5.14676/8.341127/
2024-07-29 17:57:17.676/Accelerometer/0.41156548/5.087141/8.702696/Magnetometer/23.475/-24.16875/-38.5875/Gyroscope/-0.18219042/0.027717989/-0.18249585/Pressure/989.58466/orientation/258.17395/-31.327425/2.3754175/gravity/0.34719905/5.098752/8.3697405/
